name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand
MARUTI 800 AC,2007,60000,70000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
MARUTI WAGON R LXI MINOR,2007,135000,50000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI VERNA 1.6 SX,2012,600000,100000,DIESEL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
DATSUN REDIGO T OPTION,2017,250000,46000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,DATSUN
HONDA AMAZE VX I-DTEC,2014,450000,141000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,HONDA
MARUTI ALTO LX BSIII,2007,140000,125000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
HYUNDAI XCENT 1.2 KAPPA S,2016,550000,25000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
TATA INDIGO GRAND PETROL,2014,240000,60000,PETROL,INDIVIDUAL,MANUAL,SECOND OWNER,TATA
HYUNDAI CRETA 1.6 VTVT S,2015,850000,25000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,HYUNDAI
MARUTI CELERIO GREEN VXI,2017,365000,78000,CNG,INDIVIDUAL,MANUAL,FIRST OWNER,MARUTI
CHEVROLET SAIL 1.2 BASE,2015,260000,35000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,CHEVROLET
TATA INDIGO GRAND PETROL,2014,250000,100000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
TOYOTA COROLLA ALTIS 1.8 VL CVT,2018,1650000,25000,PETROL,DEALER,AUTOMATIC,FIRST OWNER,TOYOTA
MARUTI CIAZ VXI PLUS,2015,585000,24000,PETROL,DEALER,MANUAL,FIRST OWNER,MARUTI
HYUNDAI VENUE SX OPT DIESEL,2019,1195000,5000,DIESEL,DEALER,MANUAL,FIRST OWNER,HYUNDAI
CHEVROLET ENJOY TCDI LTZ 7 SEATER,2013,390000,33000,DIESEL,INDIVIDUAL,MANUAL,SECOND OWNER,CHEVROLET
JAGUAR XF 2.2 LITRE LUXURY,2014,1964999,28000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,JAGUAR
MERCEDES-BENZ NEW C-CLASS 220 CDI AT,2013,1425000,59000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,MERCEDES-BENZ
MARUTI VITARA BREZZA ZDI PLUS AMT,2018,975000,4500,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,MARUTI
AUDI Q5 2.0 TDI,2011,1190000,175900,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,AUDI
HONDA CITY V MT,2018,930000,14500,PETROL,DEALER,MANUAL,FIRST OWNER,HONDA
TATA TIGOR 1.2 REVOTRON XT,2018,525000,15000,PETROL,INDIVIDUAL,MANUAL,FIRST OWNER,TATA
AUDI A6 2.0 TDI  DESIGN EDITION,2013,1735000,50000,DIESEL,DEALER,AUTOMATIC,FIRST OWNER,AUDI
MERCEDES-BENZ NEW C-CLASS C 220 CDI AVANTGARDE,2012,1375000,33800,DIESEL,DEALER,AUTOMATIC,SECOND OWNER,MERCEDES-BENZ
SKODA SUPERB AMBITION 2.0 TDI CR AT,2011,450000,130400,DIESEL,DEALER,AUTOMATIC,SECOND OWNER,SKODA
TOYOTA COROLLA ALTIS G AT,2016,900000,50000,PETROL,INDIVIDUAL,AUTOMATIC,FIRST OWNER,TOYOTA
